,Dataset,Model,Correlation,p-value,L1 Loss
179,RSQ,Best Model,0.389569,0.000148,1.4111111111111112
180,RSQ,Best Model,0.150426,0.157013,1.4777777777777779
181,RSQ,Best Model,-0.138886,0.191719,1.5222222222222221
182,RSQ,Best Model,0.226835,0.031557,1.488888888888889
183,RSQ,Best Model,0.192096,0.069702,1.5444444444444445
184,RSQ,Best Model,0.310288,0.002917,1.4222222222222223
185,RSQ,Best Model,0.07578,0.477775,1.5222222222222221
186,RSQ,Best Model,0.135135,0.204113,1.5777777777777777
187,RSQ,Best Model,0.252371,0.016408,1.4666666666666666
188,RSQ,Best Model,0.089207,0.403079,1.5
189,RSQ,Best Model,0.252039,0.016555,1.4444444444444444
190,RSQ,Best Model,0.251753,0.016682,1.4222222222222223
191,RSQ,Best Model,0.297215,0.004444,1.4222222222222223
192,RSQ,Best Model,0.263532,0.012084,1.4777777777777779
193,RSQ,Best Model,0.036815,0.730475,1.511111111111111
194,RSQ,Best Model,0.452857,7e-06,1.3555555555555556
195,RSQ,Best Model,0.399624,9.5e-05,1.3333333333333333
196,RSQ,Best Model,0.302103,0.003805,1.4222222222222223
197,RSQ,Best Model,0.389569,0.000148,1.4111111111111112
198,RSQ,Best Model,0.18018,0.089247,1.488888888888889
199,RSQ,Best Model,0.103683,0.330804,1.4666666666666666
200,RSQ,Best Model,0.21724,0.03971,1.5
201,RSQ,Best Model,0.421058,3.6e-05,1.3888888888888888
202,RSQ,Best Model,0.197814,0.061635,1.511111111111111
203,RSQ,Best Model,0.083935,0.431553,1.5555555555555556
204,RSQ,Best Model,0.47435,2e-06,1.3555555555555556
205,RSQ,Best Model,0.362709,0.000443,1.4222222222222223
206,RSQ,Best Model,0.219536,0.037615,1.488888888888889
207,RSQ,Best Model,0.524598,0.0,1.3222222222222222
208,RSQ,Best Model,0.221634,0.035781,1.4444444444444444
209,RSQ,Best Model,0.211524,0.045354,1.511111111111111
210,RSQ,Best Model,0.17384,0.101289,1.4777777777777779
211,RSQ,Best Model,0.220326,0.036916,1.488888888888889
212,RSQ,Best Model,0.233343,0.02687,1.4444444444444444
213,RSQ,Best Model,0.199471,0.059445,1.488888888888889
214,RSQ,Best Model,0.014989,0.888485,1.511111111111111
215,RSQ,Best Model,0.384298,0.000184,1.4333333333333333
216,RSQ,Best Model,0.484452,1e-06,1.3111111111111111
217,RSQ,Best Model,0.100759,0.344693,1.4555555555555555
218,RSQ,Best Model,0.369309,0.000341,1.3888888888888888
219,RSQ,Best Model,0.469451,3e-06,1.3444444444444446
220,RSQ,Best Model,-0.123538,0.246027,1.6444444444444444
221,RSQ,Best Model,0.359268,0.000506,1.4333333333333333
222,RSQ,Best Model,0.121209,0.255114,1.5444444444444445
223,RSQ,Best Model,0.374482,0.000277,1.4
224,RSQ,Best Model,0.282495,0.006982,1.5222222222222221
225,RSQ,Best Model,0.035972,0.736418,1.488888888888889
226,RSQ,Best Model,0.229158,0.029811,1.4777777777777779
227,RSQ,Best Model,0.273462,0.009109,1.5
228,RSQ,Best Model,0.462783,4e-06,1.3666666666666667
229,RSQ,Best Model,0.138621,0.192577,1.511111111111111
230,RSQ,Best Model,0.206485,0.050867,1.4666666666666666
231,RSQ,Best Model,0.437818,1.6e-05,1.3
232,RSQ,Best Model,0.33209,0.001385,1.4
233,RSQ,Best Model,0.243375,0.020808,1.4555555555555555
234,RSQ,Best Model,0.400629,9.1e-05,1.4222222222222223
235,RSQ,Best Model,-0.149326,0.160105,1.5888888888888888
236,RSQ,Best Model,0.044057,0.680107,1.5555555555555556
237,RSQ,Best Model,0.187935,0.076092,1.488888888888889
238,RSQ,Best Model,0.354576,0.000606,1.4555555555555555
239,RSQ,Best Model,0.333087,0.001337,1.3888888888888888
240,RSQ,Best Model,0.212191,0.044664,1.5222222222222221
241,RSQ,Best Model,0.569088,0.0,1.288888888888889
242,RSQ,Best Model,0.58019,0.0,1.2777777777777777
243,RSQ,Best Model,0.346206,0.00083,1.4111111111111112
244,RSQ,Best Model,0.144087,0.175448,1.5
245,RSQ,Best Model,0.208816,0.048252,1.488888888888889
246,RSQ,Best Model,0.35683,0.000556,1.3666666666666667
247,RSQ,Best Model,0.025204,0.813588,1.488888888888889
248,RSQ,Best Model,0.300853,0.00396,1.4777777777777779
249,RSQ,Best Model,0.10545,0.322583,1.488888888888889
250,RSQ,Best Model,0.416162,4.5e-05,1.4222222222222223
251,RSQ,Best Model,0.281245,0.007247,1.488888888888889
252,RSQ,Best Model,0.464553,4e-06,1.3333333333333333
253,RSQ,Best Model,0.423091,3.3e-05,1.3888888888888888
254,RSQ,Best Model,0.315244,0.002475,1.4
255,RSQ,Best Model,0.231786,0.027934,1.4555555555555555
256,RSQ,Best Model,-0.01413,0.894844,1.5333333333333334
257,RSQ,Best Model,0.132836,0.211988,1.4444444444444444
258,RSQ,Best Model,-0.076463,0.473802,1.5666666666666667
259,RSQ,Best Model,0.229512,0.029552,1.488888888888889
260,RSQ,Best Model,0.10226,0.337517,1.5222222222222221
261,RSQ,Best Model,0.191829,0.070099,1.5
262,RSQ,Best Model,0.22939,0.029641,1.4777777777777779
263,RSQ,Best Model,-0.111995,0.293289,1.5666666666666667
264,RSQ,Best Model,0.389668,0.000147,1.3555555555555556
265,RSQ,Best Model,0.310288,0.002917,1.4222222222222223
266,RSQ,Best Model,0.314145,0.002567,1.4555555555555555
267,RSQ,Best Model,0.039901,0.708856,1.6
268,RSQ,Best Model,0.434475,1.9e-05,1.4111111111111112
269,RSQ,Best Model,0.188389,0.075372,1.4666666666666666
270,RSQ,Best Model,0.013889,0.896627,1.5
271,RSQ,Best Model,0.336723,0.001174,1.4555555555555555
272,RSQ,Best Model,0.094274,0.37679,1.5444444444444445
273,RSQ,Best Model,0.443361,1.2e-05,1.3888888888888888
274,RSQ,Best Model,0.466324,4e-06,1.3333333333333333
275,RSQ,Best Model,0.10935,0.30491,1.511111111111111
276,RSQ,Best Model,0.075037,0.482113,1.5222222222222221
277,RSQ,Best Model,0.26803,0.010645,1.4111111111111112
278,RSQ,Best Model,0.213964,0.042869,1.511111111111111
279,RSQ,Best Model,0.442242,1.3e-05,1.4444444444444444
280,RSQ,Best Model,0.041006,0.70117,1.5333333333333334
281,RSQ,Best Model,0.137657,0.195721,1.5333333333333334
282,RSQ,Best Model,0.448821,9e-06,1.3333333333333333
283,RSQ,Best Model,0.240441,0.022446,1.488888888888889
284,RSQ,Best Model,0.226835,0.031557,1.4222222222222223
285,RSQ,Best Model,0.292351,0.005173,1.4222222222222223
286,RSQ,Best Model,0.231786,0.027934,1.4555555555555555
287,RSQ,Best Model,0.397917,0.000103,1.3444444444444446
288,RSQ,Best Model,0.378583,0.000234,1.3777777777777778
289,RSQ,Best Model,0.149128,0.160666,1.488888888888889
290,RSQ,Best Model,0.174681,0.099621,1.4777777777777779
291,RSQ,Best Model,0.36268,0.000443,1.4555555555555555
292,RSQ,Best Model,0.43766,1.6e-05,1.3888888888888888
293,RSQ,Best Model,0.480881,2e-06,1.3333333333333333
294,RSQ,Best Model,0.0,1.0,1.5888888888888888
295,RSQ,Best Model,0.366767,0.000377,1.3888888888888888
296,RSQ,Best Model,0.214901,0.041945,1.4777777777777779
297,RSQ,Best Model,0.028259,0.791475,1.488888888888889
298,RSQ,Best Model,0.495893,1e-06,1.3444444444444446
299,RSQ,Best Model,0.26434,0.011814,1.4666666666666666
300,RSQ,Best Model,0.14788,0.164236,1.5333333333333334
301,RSQ,Best Model,-0.159532,0.133114,1.6222222222222222
302,RSQ,Best Model,0.43398,1.9e-05,1.3777777777777778
303,RSQ,Best Model,-0.028259,0.791475,1.6
304,RSQ,Best Model,-0.013099,0.902476,1.5444444444444445
305,RSQ,Best Model,0.252758,0.016238,1.488888888888889
306,RSQ,Best Model,0.243375,0.020808,1.5
307,RSQ,Best Model,0.420549,3.7e-05,1.3888888888888888
308,RSQ,Best Model,0.217916,0.039084,1.5222222222222221
309,RSQ,Best Model,0.185035,0.080817,1.5222222222222221
310,RSQ,Best Model,0.17904,0.091324,1.4555555555555555
311,RSQ,Best Model,0.498677,1e-06,1.3555555555555556
312,RSQ,Best Model,0.212806,0.044034,1.4666666666666666
313,RSQ,Best Model,0.264054,0.011909,1.4777777777777779
314,RSQ,Best Model,0.526057,0.0,1.3444444444444446
315,RSQ,Best Model,0.193248,0.068012,1.488888888888889
316,RSQ,Best Model,0.271191,0.009726,1.4222222222222223
317,RSQ,Best Model,0.347284,0.000798,1.5
318,RSQ,Best Model,0.236172,0.025026,1.5
319,RSQ,Best Model,0.418728,4e-05,1.4
320,RSQ,Best Model,-0.17273,0.103521,1.6111111111111112
321,RSQ,Best Model,0.346433,0.000823,1.4444444444444444
322,RSQ,Best Model,0.031791,0.76612,1.5444444444444445
323,RSQ,Best Model,0.349362,0.000738,1.3888888888888888
324,RSQ,Best Model,0.499926,1e-06,1.3111111111111111
325,RSQ,Best Model,0.385409,0.000176,1.3777777777777778
326,RSQ,Best Model,-0.132034,0.214786,1.5555555555555556
327,RSQ,Best Model,0.170686,0.107733,1.488888888888889
328,RSQ,Best Model,0.464078,4e-06,1.3111111111111111
329,RSQ,Best Model,0.10913,0.305887,1.5222222222222221
330,RSQ,Best Model,0.211545,0.045332,1.5222222222222221
331,RSQ,Best Model,0.342087,0.000966,1.4333333333333333
332,RSQ,Best Model,0.418575,4e-05,1.3555555555555556
333,RSQ,Best Model,0.46191,5e-06,1.3777777777777778
334,RSQ,Best Model,0.393919,0.000122,1.4111111111111112
335,RSQ,Best Model,0.423943,3.1e-05,1.3888888888888888
336,RSQ,Best Model,0.258543,0.013876,1.4444444444444444
337,RSQ,Best Model,0.202703,0.055356,1.488888888888889
338,RSQ,Best Model,0.565168,0.0,1.3111111111111111
339,RSQ,Best Model,0.473558,2e-06,1.3222222222222222
340,RSQ,Best Model,0.231047,0.028452,1.4777777777777779
341,RSQ,Best Model,0.172905,0.103166,1.511111111111111
342,RSQ,Best Model,0.226577,0.031756,1.511111111111111
343,RSQ,Best Model,0.135204,0.203881,1.5
344,RSQ,Best Model,0.103933,0.329632,1.5555555555555556
345,RSQ,Best Model,0.512397,0.0,1.3444444444444446
346,RSQ,Best Model,0.404966,7.5e-05,1.3777777777777778
347,RSQ,Best Model,0.416162,4.5e-05,1.3555555555555556
348,RSQ,Best Model,0.157014,0.139427,1.5333333333333334
349,RSQ,Best Model,0.099441,0.351076,1.5222222222222221
350,RSQ,Best Model,0.205728,0.05174,1.4444444444444444
351,RSQ,Best Model,0.519814,0.0,1.3222222222222222
352,RSQ,Best Model,0.25488,0.015334,1.4444444444444444
353,RSQ,Best Model,0.128099,0.228886,1.5
354,RSQ,Best Model,0.173245,0.102481,1.5333333333333334
355,RSQ,Best Model,0.232716,0.027295,1.511111111111111
356,RSQ,Best Model,0.516047,0.0,1.3777777777777778
357,RSQ,Best Model,0.276928,0.008234,1.4444444444444444
358,RSQ,Best Model,0.311759,0.002779,1.4
359,RSQ,Best Model,0.110445,0.300061,1.5333333333333334
360,RSQ,Best Model,0.293784,0.004948,1.488888888888889
361,RSQ,Best Model,0.227508,0.031043,1.488888888888889
362,RSQ,Best Model,0.210529,0.046402,1.5
363,RSQ,Best Model,0.152927,0.150153,1.4555555555555555
364,RSQ,Best Model,0.486222,1e-06,1.3
365,RSQ,Best Model,0.159532,0.133114,1.5333333333333334
366,RSQ,Best Model,0.270281,0.009983,1.4444444444444444
367,RSQ,Best Model,0.311096,0.00284,1.4555555555555555
368,RSQ,Best Model,0.239814,0.02281,1.4444444444444444
369,RSQ,Best Model,0.215482,0.04138,1.4555555555555555
370,RSQ,Best Model,0.151052,0.155277,1.488888888888889
371,RSQ,Best Model,0.240203,0.022584,1.488888888888889
372,RSQ,Best Model,0.188364,0.075412,1.4666666666666666
373,RSQ,Best Model,0.556559,0.0,1.3
374,RSQ,Best Model,0.307001,0.003249,1.4333333333333333
375,RSQ,Best Model,0.432026,2.1e-05,1.4
376,RSQ,Best Model,0.538522,0.0,1.3222222222222222
377,RSQ,Best Model,0.327524,0.001626,1.4555555555555555
378,RSQ,Best Model,0.251753,0.016682,1.4666666666666666
379,RSQ,Best Model,0.34057,0.001021,1.4111111111111112
380,RSQ,Best Model,0.21826,0.038768,1.5
381,RSQ,Best Model,0.26434,0.011814,1.488888888888889
382,RSQ,Best Model,0.354576,0.000606,1.3888888888888888
383,RSQ,Best Model,0.598321,0.0,1.2555555555555555
384,RSQ,Best Model,0.050976,0.633257,1.5444444444444445
385,RSQ,Best Model,0.339809,0.00105,1.4
386,RSQ,Best Model,0.180148,0.089305,1.5
387,RSQ,Best Model,0.268177,0.010601,1.4777777777777779
388,RSQ,Best Model,0.295086,0.004751,1.488888888888889
389,RSQ,Best Model,0.251805,0.016659,1.488888888888889
390,RSQ,Best Model,0.103311,0.332551,1.511111111111111
391,RSQ,Best Model,0.245694,0.019586,1.4777777777777779
392,RSQ,Best Model,0.02486,0.816085,1.5666666666666667
393,RSQ,Best Model,0.132034,0.214786,1.5333333333333334
394,RSQ,Best Model,0.38321,0.000193,1.3888888888888888
395,RSQ,Best Model,0.055071,0.606178,1.5555555555555556
396,RSQ,Best Model,0.433461,2e-05,1.4444444444444444
397,RSQ,Best Model,0.142252,0.181071,1.5
398,RSQ,Best Model,-0.054675,0.608774,1.6222222222222222
399,RSQ,Best Model,0.32387,0.001846,1.3888888888888888
400,RSQ,Best Model,0.297449,0.004411,1.4333333333333333
401,RSQ,Best Model,0.245694,0.019586,1.4555555555555555
402,RSQ,Best Model,0.123849,0.244831,1.488888888888889
403,RSQ,Best Model,0.246779,0.019037,1.511111111111111
404,RSQ,Best Model,0.27499,0.008714,1.4777777777777779
405,RSQ,Best Model,0.159532,0.133114,1.511111111111111
406,RSQ,Best Model,0.264054,0.011909,1.4777777777777779
407,RSQ,Best Model,0.243281,0.020859,1.4555555555555555
408,RSQ,Best Model,0.364013,0.000421,1.4222222222222223
409,RSQ,Best Model,0.138464,0.193087,1.511111111111111
410,RSQ,Best Model,0.275313,0.008632,1.488888888888889
411,RSQ,Best Model,0.155879,0.142345,1.5333333333333334
412,RSQ,Best Model,-0.012819,0.904552,1.5888888888888888
413,RSQ,Best Model,0.170658,0.107792,1.4555555555555555
414,RSQ,Best Model,-0.011866,0.911614,1.5888888888888888
415,RSQ,Best Model,0.261332,0.012848,1.4333333333333333
416,RSQ,Best Model,0.335309,0.001235,1.4333333333333333
417,RSQ,Best Model,0.38321,0.000193,1.4111111111111112
418,RSQ,Best Model,0.101351,0.341851,1.6
419,RSQ,Best Model,0.35223,0.000663,1.3888888888888888
420,RSQ,Best Model,0.028788,0.787661,1.5222222222222221
421,RSQ,Best Model,0.324616,0.001799,1.4555555555555555
422,RSQ,Best Model,0.415061,4.7e-05,1.3666666666666667
423,RSQ,Best Model,0.052395,0.623812,1.5
424,RSQ,Best Model,0.22089,0.036423,1.4444444444444444
425,RSQ,Best Model,0.217692,0.039291,1.5
426,RSQ,Best Model,0.414931,4.8e-05,1.3444444444444446
427,RSQ,Best Model,0.320037,0.002105,1.4444444444444444
428,RSQ,Best Model,0.041666,0.696595,1.5444444444444445
429,RSQ,Best Model,0.210553,0.046377,1.5333333333333334
430,RSQ,Best Model,-0.097005,0.36306,1.5444444444444445
431,RSQ,Best Model,0.10913,0.305887,1.5444444444444445
432,RSQ,Best Model,0.485772,1e-06,1.3222222222222222
433,RSQ,Best Model,0.349359,0.000738,1.3888888888888888
434,RSQ,Best Model,0.33574,0.001216,1.4
435,RSQ,Best Model,0.025983,0.807933,1.511111111111111
436,RSQ,Best Model,-0.024251,0.820514,1.5888888888888888
437,RSQ,Best Model,-0.0,1.0,1.5444444444444445
438,RSQ,Best Model,0.32387,0.001846,1.3444444444444446
439,RSQ,Best Model,0.188022,0.075954,1.488888888888889
440,RSQ,Best Model,0.247748,0.018557,1.4666666666666666
441,RSQ,Best Model,0.106403,0.318204,1.5333333333333334
442,RSQ,Best Model,0.111109,0.297147,1.5222222222222221
443,RSQ,Best Model,0.336922,0.001166,1.4444444444444444
444,RSQ,Best Model,0.201305,0.063086,1.4111111111111112
445,RSQ,Best Model,0.390027,0.000145,1.4
446,RSQ,Best Model,0.447676,1e-05,1.3555555555555556
447,RSQ,Best Model,0.208619,0.048469,1.4444444444444444
448,RSQ,Best Model,0.223276,0.0344,1.4222222222222223
449,RSQ,Best Model,-0.071197,0.504872,1.5666666666666667
450,RSQ,Best Model,0.296715,0.004514,1.4777777777777779
451,RSQ,Best Model,0.100701,0.344974,1.488888888888889
452,RSQ,Best Model,0.039297,0.713074,1.5
453,RSQ,Best Model,0.316937,0.002338,1.4333333333333333
454,RSQ,Best Model,0.225232,0.032812,1.4777777777777779
455,RSQ,Best Model,-0.038232,0.720524,1.6111111111111112
456,RSQ,Best Model,0.186206,0.078882,1.488888888888889
